key	name	team	num_female_eng	num_eng	percent_female_eng	last_updated	Submit more data!	value
	Average							0.1358285714
braintree	eBay	Braintree	5	135	3.7	7/15/2015	TRUE	0.037
qualcommaustin	Qualcomm	Austin, TX office	15	271	5.54	10/24/2013	TRUE	0.0554
foursquare	foursquare	N/A	6	85	7.06	11/13/2013	TRUE	0.0706
lookout	Lookout	N/A	9	112	8.04	6/25/2015	TRUE	0.0804
yelp	Yelp	N/A	17	206	8.25	1/13/2014	TRUE	0.0825
mozilla	Mozilla	N/A	43	500	8.6	10/23/2013	TRUE	0.086
dropbox	Dropbox	N/A	26	275	9.45	11/7/2014	TRUE	0.0945
gilt	Gilt	N/A	11	111	9.91	5/7/2014	TRUE	0.0991
wikimedia	Wikimedia Foundation	N/A	9	82	10.98	8/21/2014	TRUE	0.1098
stripe	Stripe	N/A	9	81	11.11	4/22/2015	TRUE	0.1111
hubspot	HubSpot	N/A	13	105	12.38	7/15/2015	TRUE	0.1238
airbnb	Airbnb	N/A	18	143	12.59	1/20/2015	TRUE	0.1259
etsy	Etsy	N/A	19	149	12.75	10/23/2013	TRUE	0.1275
quantcast	Quantcast	N/A	15	112	13.39	10/23/2013	TRUE	0.1339
github	GitHub	N/A	14	104	13.46	5/5/2014	TRUE	0.1346
pinterest	Pinterest	N/A	29	175	16.57	12/16/2014	TRUE	0.1657
guidewirefostercity	Guidewire Software	Foster City office	21	122	17.21	10/31/2013	TRUE	0.1721
rhapsody	Rhapsody	N/A	14	76	18.42	10/24/2013	TRUE	0.1842
newrelic	New Relic	N/A	30	151	19.87	10/23/2013	TRUE	0.1987
thoughtworks	ThoughtWorks	N/A	337	1425	23.65	5/19/2014	TRUE	0.2365
cityaoflaita	City of Los Angeles	N/A	33	78	42.31	7/9/2015	TRUE	0.4231